Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,78.60%,%,2273427.5,2892278,79.30%,77.90%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,64.20%,%,18733.5,29181.5,78.20%,50.20%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,71.10%,%,91434.5,128664.5,77.30%,64.80%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,69.90%,%,42793,61185.5,79.70%,60.20%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,72%,%,21201.5,29454.5,85.30%,58.70%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,70.10%,%,174162.5,248486,74.70%,65.50%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,77.90%,%,2447855,3141463,78.60%,77.30%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,74.70%,%,1461555,1956937,75.60%,73.80%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,71.60%,%,64565,90213,78.70%,64.40%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,62.50%,%,31237,49992,74.10%,50.80%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,66.60%,%,117925,176954,72.20%,61.10%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,74%,%,1579480,2133891,74.90%,73.20%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,78.40%,%,876943,1118127,79.50%,77.40%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,78%,%,113720,145793,83.20%,72.80%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,71.90%,%,36755,51121,82.10%,61.70%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,72.60%,%,46758,64382,81.40%,63.90%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,74.90%,%,202742,270621,79%,70.80%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,77.70%,%,1080555,1390690,78.70%,76.70%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,49.10%,%,721793,1470793,50.20%,48%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,58.30%,%,96631,165609,64.10%,52.60%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,40.70%,%,21288,52292,51.70%,29.70%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,59.70%,%,33658,56348,70.10%,49.40%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,54.50%,%,157561,289351,59%,49.90%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,50%,%,879888,1761061,51%,48.90%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,68.60%,%,32856,47900,74.70%,62.50%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,63.30%,%,37596,59395,69.20%,57.40%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,79.90%,%,12741853,15941726,80.20%,79.60%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,72.90%,%,116125,159319,78.50%,67.30%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,79.10%,%,897596,1135415,80.90%,77.20%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,71.10%,%,314914,442819,74.60%,67.60%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,75.40%,%,280182,371820,78.90%,71.80%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,76.30%,%,1608817,2109373,77.70%,74.80%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,79.50%,%,14356811,18062028,79.80%,79.20%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,82.20%,%,4691422,5709118,82.60%,81.70%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,76.10%,%,58958,77498,83.70%,68.40%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,69.60%,%,314815,452632,72.80%,66.30%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,76.90%,%,176432,229455,81.20%,72.60%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,72.90%,%,136530,187396,77.80%,67.90%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,72.50%,%,686735,946981,74.70%,70.30%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,80.80%,%,5382199,6660572,81.20%,80.40%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,78.20%,%,1999395,2556049,78.90%,77.50%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,61.80%,%,19937.5,32246,74.90%,48.70%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,56.30%,%,65276,115888,63.30%,49.40%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,70.80%,%,51958.5,73414.5,79.10%,62.40%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,55.40%,%,17119.5,30913.5,68.70%,42%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,61.10%,%,154291.5,252462,65.80%,56.40%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,76.70%,%,2153990.5,2809257,77.40%,76%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,69%,%,2152441,3121531,69.70%,68.20%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,65.30%,%,18736.5,28697,78.20%,52.40%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,42.90%,%,55329,129036,49.30%,36.40%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,55.30%,%,39692.5,71725.5,64.50%,46.10%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,48.90%,%,15011.5,30680.5,62.50%,35.40%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,49.50%,%,128769.5,260139,54.10%,44.90%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,67.40%,%,2282242.5,3383923,68.10%,66.70%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,59.40%,%,1296934,2185177,60.20%,58.50%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,36.20%,%,34022,94032,43.30%,29%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,47%,%,23353,49638,58.10%,36%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,32.70%,%,8309,25426,47.20%,18.10%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,38.90%,%,73016,187689,44.20%,33.60%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,57.70%,%,1370873,2374146,58.60%,56.90%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,64.20%,%,502177,782084,65.60%,62.80%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,36.90%,%,49611,134500,42.90%,30.80%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,45.50%,%,21639,47565,56.50%,34.40%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,47.70%,%,25802,54054,57.90%,37.60%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,41.30%,%,102121,247481,45.90%,36.60%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,58.70%,%,604734,1030798,60%,57.40%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,34%,%,561937,1653773,34.90%,33%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,16.60%,%,31498,189807,20.40%,12.80%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,28.10%,%,16240,57883,37%,19.20%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,22.20%,%,12467,56037,30.60%,13.90%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,19.80%,%,63160,318583,23%,16.60%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,31.70%,%,625097,1972938,32.50%,30.80%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,56.70%,%,25557,45100,62.90%,50.40%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,53.60%,%,30355,56620,59.40%,47.80%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,70%,%,11229863,16052832,70.30%,69.60%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,61.60%,%,113164,183774,67%,56.10%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,49.40%,%,553771,1121452,51.60%,47.20%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,62.20%,%,330243,531257,65.40%,58.90%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,55.80%,%,215576,386561,59.60%,51.90%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,54.60%,%,1212754,2223044,56.10%,53%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.10%,%,12449491,18288254,68.40%,67.80%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85.50%,%,9372082,10967790,85.80%,85.10%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81%,%,115704,142795,86.30%,75.80%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,80.10%,%,751334,938539,82.10%,78%
